ID,Form_ID,Cognateset_ID,Morph_Index
336,12-83e4a96aed96436c621b9809e258b309-15036,55821,0
337,4-83e4a96aed96436c621b9809e258b309-16108,55821,0
338,72-83e4a96aed96436c621b9809e258b309-59321,55821,0
339,73-83e4a96aed96436c621b9809e258b309-59770,55821,0
340,74-83e4a96aed96436c621b9809e258b309-59909,55821,0
341,75-83e4a96aed96436c621b9809e258b309-60316,55821,0
342,79-83e4a96aed96436c621b9809e258b309-70229,55821,0
343,80-83e4a96aed96436c621b9809e258b309-71528,55821,0
344,1-2987b46d0cce82f1ce38e08c23f39cc1-9491,55821,1
345,2-2987b46d0cce82f1ce38e08c23f39cc1-11000,55821,1
346,13-83e4a96aed96436c621b9809e258b309-15096,55821,1
347,72-af17bc3b4a86a96a0f053a7e5f7c18ba-59598,55822,0
348,74-af17bc3b4a86a96a0f053a7e5f7c18ba-60214,55822,0
349,75-7ec561263191987b17f03480041315f8-60317,55822,0
350,1-af17bc3b4a86a96a0f053a7e5f7c18ba-10636,55822,1
351,2-f2adddb226ae9915d47e801cc82caf75-12182,55822,1
352,3-f2adddb226ae9915d47e801cc82caf75-13762,55822,1
353,4-af17bc3b4a86a96a0f053a7e5f7c18ba-16026,55822,1
354,73-7ec561263191987b17f03480041315f8-59771,55822,1
355,80-af17bc3b4a86a96a0f053a7e5f7c18ba-71446,55822,1
356,4-fd2cfade93518ddd6cff5cb8c6906b17-16174,55823,1
357,72-fd2cfade93518ddd6cff5cb8c6906b17-59350,55823,1
358,80-fd2cfade93518ddd6cff5cb8c6906b17-71594,55823,1
359,2-451e85399432c705cbefb90f28742bf3-11139,55823,2
360,72-85f06cc816f93b8a6dbb1a494f813358-59482,55824,0
361,1-85f06cc816f93b8a6dbb1a494f813358-10779,55824,2
362,2-85f06cc816f93b8a6dbb1a494f813358-12313,55824,2
363,4-85f06cc816f93b8a6dbb1a494f813358-16124,55824,2
364,79-fa644fce380c303ab1278c68de80e459-70549,55824,2
365,80-fa644fce380c303ab1278c68de80e459-71544,55824,2
366,2-4d4ba904b38d85f8001cd15526c82a56-11398,55826,1
367,4-4d4ba904b38d85f8001cd15526c82a56-16196,55826,1
368,80-4d4ba904b38d85f8001cd15526c82a56-71616,55826,1
369,1-b2f89823829d173028627e4b01b93037-10707,55827,1
370,2-b2f89823829d173028627e4b01b93037-12232,55827,1
371,79-425982c5262c36274ea1c3dd8e1edbd6-70453,55827,1
372,4-425982c5262c36274ea1c3dd8e1edbd6-16143,55827,2
373,80-425982c5262c36274ea1c3dd8e1edbd6-71563,55827,2
374,1-c168a2bc673be90e75392d921959237c-10702,55828,2
375,2-c168a2bc673be90e75392d921959237c-12228,55828,2
376,3-dfa62538dec537cd07234f063e1b733a-13815,55828,2
377,4-c168a2bc673be90e75392d921959237c-16032,55828,2
378,80-c168a2bc673be90e75392d921959237c-71452,55828,2
379,2-bc89f1a57c73fc603cc949b5e9d7c026-11173,55829,2
380,3-bc89f1a57c73fc603cc949b5e9d7c026-12755,55829,2
381,3-4cbfe67340292113c37189ac59871696-13726,55830,0
382,4-4cbfe67340292113c37189ac59871696-15966,55830,0
383,74-4cbfe67340292113c37189ac59871696-60033,55830,0
384,79-0a401960b98e9bc4f78d1b760508992e-70230,55830,0
385,80-0a401960b98e9bc4f78d1b760508992e-71386,55830,0
386,1-4cbfe67340292113c37189ac59871696-9919,55830,1
387,4-581aebd3e4cf50407204c9e5af511027-16260,55831,0
388,79-f97ee44aefd797519351ae90825e0730-68977,55831,0
389,79-8332189037ebe7b280743783345c6f5c-68987,55831,0
390,80-8332189037ebe7b280743783345c6f5c-71680,55831,0
391,3-8332189037ebe7b280743783345c6f5c-12921,55831,1
392,1-1b7d5726533ab525a8760351e9b5e415-10190,55832,0
393,2-1b7d5726533ab525a8760351e9b5e415-11707,55832,1
394,3-1b7d5726533ab525a8760351e9b5e415-13261,55832,1
395,4-1b7d5726533ab525a8760351e9b5e415-16091,55832,1
396,80-71344346391cedffcaaa24613b411299-71511,55832,1
397,72-f6182f0359f72aae12fb90d305ccf9eb-59500,55832,2
398,79-71344346391cedffcaaa24613b411299-68451,55832,2
399,74-2b0cf9520521ebe2b9c24fd0449d0ad7-59886,55832,3
400,1-4aa1e7414849577e6d4c076c08782d3a-10698,55834,1
401,2-4aa1e7414849577e6d4c076c08782d3a-12222,55834,1
402,3-1c5dd7d494fb3dacb6eb7625d887f00c-13807,55834,1
403,4-4aa1e7414849577e6d4c076c08782d3a-16258,55834,1
404,80-4aa1e7414849577e6d4c076c08782d3a-71678,55834,1
405,4-c5af0543407a6e8ba11db6a69f792014-14418,55835,0
406,10-c5af0543407a6e8ba11db6a69f792014-14938,55835,0
407,11-c5af0543407a6e8ba11db6a69f792014-14999,55835,0
408,12-c5af0543407a6e8ba11db6a69f792014-15059,55835,0
